Judul Berita,Link Berita,Link Gambar
"Kebakaran Senayan City, Pengunjung Berlarian ke Tangga Darurat",https://www.cnnindonesia.com/nasional/20230420192709-20-940351/kebakaran-senayan-city-pengunjung-berlarian-ke-tangga-darurat,https://akcdn.detik.net.id/visual/2020/01/01/c3431b93-eae6-4ab9-aa91-1b5280978d08_169.jpeg?w=280&q=90
"Senayan City Kebakaran, Pengunjung Mal Dievakuasi",https://www.cnnindonesia.com/nasional/20230420190751-20-940346/senayan-city-kebakaran-pengunjung-mal-dievakuasi,https://akcdn.detik.net.id/visual/2020/01/01/2ab612fd-1f1a-4633-829b-795f0b6f1a1d_169.jpeg?w=280&q=90
"Korban Tewas Kebakaran RS Beijing Jadi 29 Orang, Sebagian Besar Lansia",https://www.cnnindonesia.com/internasional/20230419154914-113-939862/korban-tewas-kebakaran-rs-beijing-jadi-29-orang-sebagian-besar-lansia,https://akcdn.detik.net.id/visual/2023/04/19/kebakaran-rumah-sakit-beijing-tewaskan-21-orang-5_169.jpeg?w=280&q=90
16 Unit Damkar Padamkan Kebakaran KM Samudra Anugrah di Surabaya,https://www.cnnindonesia.com/nasional/20230419133743-20-939789/16-unit-damkar-padamkan-kebakaran-km-samudra-anugrah-di-surabaya,https://akcdn.detik.net.id/visual/2023/04/19/km-samudra-anugrah-terbakar-saat-perbaikan-di-pt-dok-3_169.jpeg?w=280&q=90
"Kebakaran di Rumah Sakit Beijing China, 21 Orang Tewas",https://www.cnnindonesia.com/internasional/20230418204537-113-939562/kebakaran-di-rumah-sakit-beijing-china-21-orang-tewas,https://akcdn.detik.net.id/visual/2022/10/17/ilustrasi-kebakaran_169.jpeg?w=280&q=90
"Kebakaran Satu Rumah di Medan, 6 Orang Meninggal Dunia",https://www.cnnindonesia.com/nasional/20230418105048-20-939173/kebakaran-satu-rumah-di-medan-6-orang-meninggal-dunia,https://akcdn.detik.net.id/visual/2023/04/18/kebakaran-rumah-di-medan-6-orang-tewas-terpanggang_169.jpeg?w=280&q=90
"VIDEO: Rumah Tingkat Terbakar, 12 Mobil Damkar Diterjunkan",https://www.cnnindonesia.com/tv/20230412171302-407-936902/video-rumah-tingkat-terbakar-12-mobil-damkar-diterjunkan,https://akcdn.detik.net.id/visual/2023/04/12/rumah-tingkat-terbakar-12-mobil-damkar-diterjunkan_169.png?w=280&q=90
Resto Ayam Geprek di Tebet Kebakaran Usai Penggantian Tabung Gas,https://www.cnnindonesia.com/nasional/20230410224432-20-935934/resto-ayam-geprek-di-tebet-kebakaran-usai-penggantian-tabung-gas,https://akcdn.detik.net.id/visual/2023/04/10/kebakaran-di-tebet-1_169.jpeg?w=280&q=90
"Kebakaran Gudang Kimia di Hamburg, Warga Diperingati soal Asap Beracun",https://www.cnnindonesia.com/internasional/20230410032044-134-935450/kebakaran-gudang-kimia-di-hamburg-warga-diperingati-soal-asap-beracun,https://akcdn.detik.net.id/visual/2019/10/22/7b13c072-c974-43bc-8520-556c8635ae0f_169.jpeg?w=280&q=90
Danrem: Kebakaran Kantor Bupati Dogiyai Diduga Akibat Korsleting,https://www.cnnindonesia.com/nasional/20230409003928-20-935207/danrem-kebakaran-kantor-bupati-dogiyai-diduga-akibat-korsleting,https://akcdn.detik.net.id/visual/2023/03/18/polisi-dalami-kasus-kebakaran-kantor-drpd-kabupaten-dogiyai-1_169.jpeg?w=280&q=90
Kantor Bupati Dogiyai Papua Tengah Dilanda Kebakaran,https://www.cnnindonesia.com/nasional/20230408132609-20-935098/kantor-bupati-dogiyai-papua-tengah-dilanda-kebakaran,https://akcdn.detik.net.id/visual/2020/01/01/c3431b93-eae6-4ab9-aa91-1b5280978d08_169.jpeg?w=280&q=90
"Kebakaran Landa Permukiman di Pademangan, 300 Orang Mengungsi",https://www.cnnindonesia.com/nasional/20230408064637-20-935013/kebakaran-landa-permukiman-di-pademangan-300-orang-mengungsi,https://akcdn.detik.net.id/visual/2021/07/19/ilustrasi-kebakaran-4_169.jpeg?w=280&q=90
Bima Arya: Kebakaran RS Salak Diduga Korsleting Listrik,https://www.cnnindonesia.com/nasional/20230407152158-20-934879/bima-arya-kebakaran-rs-salak-diduga-korsleting-listrik,https://akcdn.detik.net.id/visual/2023/04/07/kebakaran-rs-salak-bogor_169.jpeg?w=280&q=90
"Kebakaran RS Salak Bogor Padam, Obat-obatan Habis Terbakar",https://www.cnnindonesia.com/nasional/20230407154206-20-934886/kebakaran-rs-salak-bogor-padam-obat-obatan-habis-terbakar,https://akcdn.detik.net.id/visual/2023/04/07/rs-salak-bogor-kebakaran-1_169.jpeg?w=280&q=90
FOTO: Kebakaran RS Salak Bogor,https://www.cnnindonesia.com/nasional/20230407145028-22-934866/foto-kebakaran-rs-salak-bogor,https://akcdn.detik.net.id/visual/2023/04/07/rs-salak-bogor-kebakaran_169.jpeg?w=280&q=90
"Api Masih Berkobar di RS Salak, 7 Pemadam Kebakaran Dikerahkan",https://www.cnnindonesia.com/nasional/20230407140815-20-934858/api-masih-berkobar-di-rs-salak-7-pemadam-kebakaran-dikerahkan,https://akcdn.detik.net.id/visual/2023/04/07/kebakaran_169.jpeg?w=280&q=90
